simulation,stage,home_team,away_team,home_goals,away_goals,winner,method
1,Group,Mexico,South Africa,0,0,Draw,
1,Group,South Korea,Czech Republic,3,2,South Korea,
1,Group,United States,Paraguay,0,3,Paraguay,
1,Group,Canada,Bosnia and Herzegovina,1,1,Draw,
1,Group,Brazil,Morocco,1,0,Brazil,
1,Group,Haiti,Scotland,2,3,Scotland,
1,Group,Qatar,Switzerland,1,4,Switzerland,
1,Group,Australia,Turkey,1,0,Australia,
1,Group,Netherlands,Japan,1,1,Draw,
1,Group,Sweden,Tunisia,2,2,Draw,
1,Group,Germany,Curaçao,2,0,Germany,
1,Group,Ivory Coast,Ecuador,0,1,Ecuador,
1,Group,Spain,Cape Verde,3,0,Spain,
1,Group,Iran,New Zealand,0,2,New Zealand,
1,Group,Saudi Arabia,Uruguay,0,1,Uruguay,
1,Group,Belgium,Egypt,1,1,Draw,
1,Group,France,Senegal,0,0,Draw,
1,Group,Iraq,Norway,1,0,Iraq,
1,Group,Argentina,Algeria,0,1,Algeria,
1,Group,Austria,Jordan,2,0,Austria,
1,Group,England,Croatia,1,1,Draw,
1,Group,Portugal,DR Congo,6,0,Portugal,
1,Group,Uzbekistan,Colombia,0,2,Colombia,
1,Group,Ghana,Panama,2,0,Ghana,
1,Group,Czech Republic,South Africa,3,2,Czech Republic,
1,Group,Switzerland,Bosnia and Herzegovina,2,1,Switzerland,
1,Group,Canada,Qatar,0,0,Draw,
1,Group,Mexico,South Korea,1,1,Draw,
1,Group,Scotland,Morocco,1,0,Scotland,
1,Group,Brazil,Haiti,4,0,Brazil,
1,Group,Turkey,Paraguay,2,3,Paraguay,
1,Group,United States,Australia,2,0,United States,
1,Group,Tunisia,Japan,1,0,Tunisia,
1,Group,Netherlands,Sweden,4,0,Netherlands,
1,Group,Ecuador,Curaçao,5,0,Ecuador,
1,Group,Germany,Ivory Coast,2,0,Germany,
1,Group,Spain,Saudi Arabia,0,1,Saudi Arabia,
1,Group,Belgium,Iran,4,4,Draw,
1,Group,Uruguay,Cape Verde,1,0,Uruguay,
1,Group,New Zealand,Egypt,1,0,New Zealand,
1,Group,Argentina,Austria,1,0,Argentina,
1,Group,Norway,Senegal,1,3,Senegal,
1,Group,France,Iraq,0,0,Draw,
1,Group,Jordan,Algeria,0,1,Algeria,
1,Group,England,Ghana,0,0,Draw,
1,Group,Portugal,Uzbekistan,0,0,Draw,
1,Group,Panama,Croatia,0,2,Croatia,
1,Group,Colombia,DR Congo,0,1,DR Congo,
1,Group,Morocco,Haiti,3,0,Morocco,
1,Group,South Africa,South Korea,3,1,South Africa,
1,Group,Mexico,Czech Republic,3,1,Mexico,
1,Group,Scotland,Brazil,1,3,Brazil,
1,Group,Bosnia and Herzegovina,Qatar,0,3,Qatar,
1,Group,Canada,Switzerland,1,0,Canada,
1,Group,Japan,Sweden,3,1,Japan,
1,Group,Ecuador,Germany,3,1,Ecuador,
1,Group,United States,Turkey,1,1,Draw,
1,Group,Tunisia,Netherlands,1,3,Netherlands,
1,Group,Curaçao,Ivory Coast,1,1,Draw,
1,Group,Paraguay,Australia,2,2,Draw,
1,Group,Norway,France,0,2,France,
1,Group,Cape Verde,Saudi Arabia,0,1,Saudi Arabia,
1,Group,Egypt,Iran,0,0,Draw,
1,Group,Senegal,Iraq,2,0,Senegal,
1,Group,New Zealand,Belgium,1,1,Draw,
1,Group,Uruguay,Spain,1,3,Spain,
1,Group,Jordan,Argentina,2,2,Draw,
1,Group,DR Congo,Uzbekistan,2,1,DR Congo,
1,Group,Panama,England,0,2,England,
1,Group,Algeria,Austria,4,2,Algeria,
1,Group,Colombia,Portugal,1,5,Portugal,
1,Group,Croatia,Ghana,2,0,Croatia,
1,Round of 32,South Africa,Canada,0,1,Canada,90
1,Round of 32,Ecuador,Qatar,1,1,Ecuador,ET
1,Round of 32,Netherlands,Scotland,2,0,Netherlands,90
1,Round of 32,Brazil,Japan,0,1,Japan,90
1,Round of 32,Senegal,Uruguay,0,1,Uruguay,90
1,Round of 32,Germany,France,0,2,France,90
1,Round of 32,Mexico,Tunisia,0,2,Tunisia,90
1,Round of 32,Croatia,Iraq,0,1,Iraq,90
1,Round of 32,Paraguay,Ghana,3,1,Paraguay,90
1,Round of 32,New Zealand,South Korea,1,2,South Korea,90
1,Round of 32,DR Congo,England,0,3,England,90
1,Round of 32,Spain,Argentina,3,0,Spain,90
1,Round of 32,Switzerland,United States,0,0,Switzerland,ET
1,Round of 32,Algeria,Saudi Arabia,0,0,Algeria,ET
1,Round of 32,Portugal,Morocco,2,0,Portugal,90
1,Round of 32,Australia,Belgium,1,0,Australia,90
1,Round of 16,Canada,Netherlands,0,5,Netherlands,90
1,Round of 16,Ecuador,Uruguay,0,2,Uruguay,90
1,Round of 16,Japan,France,2,2,Japan,ET
1,Round of 16,Tunisia,Iraq,0,0,Tunisia,ET
1,Round of 16,England,Spain,0,1,Spain,90
1,Round of 16,Paraguay,South Korea,2,2,Paraguay,PEN
1,Round of 16,Algeria,Australia,1,3,Australia,90
1,Round of 16,Switzerland,Portugal,1,1,Switzerland,ET
1,Quarterfinal,Netherlands,Uruguay,0,2,Uruguay,90
1,Quarterfinal,Spain,Paraguay,3,0,Spain,90
1,Quarterfinal,Japan,Tunisia,2,0,Japan,90
1,Quarterfinal,Australia,Switzerland,0,1,Switzerland,90
1,Semifinal,Uruguay,Spain,0,2,Spain,90
1,Semifinal,Japan,Switzerland,0,0,Switzerland,PEN
1,Final,Spain,Switzerland,1,1,Spain,PEN
2,Group,Mexico,South Africa,1,1,Draw,
2,Group,South Korea,Czech Republic,1,2,Czech Republic,
2,Group,United States,Paraguay,0,0,Draw,
2,Group,Canada,Bosnia and Herzegovina,1,1,Draw,
2,Group,Brazil,Morocco,2,2,Draw,
2,Group,Haiti,Scotland,1,1,Draw,
2,Group,Qatar,Switzerland,2,2,Draw,
2,Group,Australia,Turkey,2,0,Australia,
2,Group,Netherlands,Japan,2,0,Netherlands,
2,Group,Sweden,Tunisia,0,2,Tunisia,
2,Group,Germany,Curaçao,2,0,Germany,
2,Group,Ivory Coast,Ecuador,0,1,Ecuador,
2,Group,Spain,Cape Verde,1,0,Spain,
